epoch,elapsed_s,cpu_used_pct,load1,load5,load15,mem_used_mb,mem_avail_mb,swap_used_mb,nproc_zephyr,rss_zephyr_mb,open_fds,gw_cpu_millicores,gw_mem_mi
1781953770.311,1809.9,94.66,70.3,70.9,71.58,9890.0,117908.6,0.3,1000,35539.7,17184,12,167
1781953773.311,1812.9,92.73,69.24,70.67,71.5,9835.1,117963.5,0.3,1000,35539.7,17120,5,167
1781953776.311,1815.9,91.84,69.24,70.67,71.5,9857.8,117940.9,0.3,1000,35539.7,17120,5,167
1781953779.311,1818.9,93.48,73.22,71.48,71.75,9920.3,117878.3,0.3,1000,35539.7,17120,5,167
1781953782.312,1821.9,93.56,76.89,72.27,72.01,9880.3,117918.4,0.3,1000,35539.7,17120,5,167
1781953785.312,1824.9,93.07,76.89,72.27,72.01,9905.1,117893.5,0.3,1000,35539.7,17120,11,167
1781953788.312,1827.9,94.18,75.29,72.01,71.93,9953.6,117845.0,0.3,1000,35539.7,17184,11,167
1781953791.312,1830.9,94.83,75.29,72.01,71.93,10068.8,117729.9,0.3,1000,35539.7,17248,11,167
1781953794.312,1833.9,94.37,77.03,72.43,72.06,9982.6,117816.0,0.3,1000,35539.7,17248,11,167
1781953797.312,1836.9,91.74,73.99,71.87,71.88,9834.7,117964.0,0.3,1000,35539.7,17184,5,167
1781953800.312,1839.9,95.47,73.99,71.87,71.88,9850.2,117948.4,0.3,1000,35539.7,17056,5,167
1781953803.312,1842.9,92.28,72.87,71.67,71.82,9928.4,117870.2,0.3,1000,35539.7,17120,5,167
1781953806.312,1845.9,94.7,72.87,71.67,71.82,9844.4,117954.2,0.3,1000,35539.7,17184,5,167
1781953809.313,1848.9,94.26,69.75,71.05,71.62,9962.1,117836.6,0.3,1000,35539.7,17120,5,167
1781953812.313,1851.9,91.83,72.66,71.63,71.8,9855.8,117942.9,0.3,1000,35539.7,17056,5,167
1781953815.313,1854.9,93.49,72.66,71.63,71.8,9954.6,117844.1,0.3,1000,35539.7,17120,5,167
1781953818.313,1857.9,93.2,71.48,71.4,71.73,9993.6,117805.1,0.3,1000,35539.7,17056,5,167
1781953821.313,1860.9,95.28,71.48,71.4,71.73,9767.3,118031.4,0.3,1000,35539.7,16928,15,168
1781953824.314,1864.0,94.5,69.44,70.98,71.59,9865.3,117933.5,0.3,1000,35539.7,16928,15,168
1781953827.314,1867.0,93.87,67.24,70.5,71.43,9829.8,117968.9,0.3,1000,35539.7,16864,15,168
1781953830.314,1870.0,94.71,67.24,70.5,71.43,9922.0,117876.8,0.3,1000,35539.7,16864,15,168
